"month","country","generation"
3,"CHN-HN",60.8
3,"CHN-HU",29.4
3,"CHN-JI",26.9
3,"CHN-JS",8.3
3,"CHN-JX",54.1
3,"CHN-LI",25
3,"CHN-NI",72.8
3,"CHN-QI",36.6
3,"CHN-SC",39.7
3,"CHN-SD",27.6
3,"CHN-SI",6.5
3,"CHN-SX",27.1
3,"CHN-TI",55.1
3,"CHN-WM",61
3,"CHN-XI",32.4
3,"CHN-YU",31.3
3,"CHN-ZH",52.1
3,"CIV",98.6
3,"CMR",288.6
3,"COD",805.6
3,"COG",268.4
3,"COL",698.7
3,"CRI",1144.9
3,"CUB",18.9
3,"CZE",66.4
3,"DEU",1881.3
3,"DOM",70.9
3,"DZA",11.3
3,"ECU",628.6
3,"EGY",252.6
3,"ESP",2364.1
3,"ETH",588.8
3,"FIN",6450.1
3,"FJI",127
3,"FRA",12798.7
3,"GAB",109.4
3,"GBR",1134.6
3,"GEO",804.7
3,"GHA",105.1
3,"GIN",198.8
3,"GNQ",36.8
3,"GRC",443.1
3,"GTM",1580.5
3,"GUF",69.4
3,"HND",672
3,"HRV",758.1
3,"HUN",73.8
3,"IDN",889.7
3,"IND",7381.5
3,"IND-EA",38.7
3,"IND-NE",42.7
3,"IND-NO",37.3
3,"IND-SO",18.5
3,"IND-WE",46.1
3,"IRL",50.1
3,"IRN",262.3
3,"IRQ",78.7
3,"ISL",1080.8
3,"ITA",1743.5
3,"JAM",213.7
3,"JOR",70.6
3,"JPN",2016.3
3,"KAZ",259.1
3,"KEN",530.5
3,"KGZ",284.9
3,"KHM",166.1
3,"KOR",304.4
3,"KOS",40.9
3,"LAO",812.7
3,"LBN",23.1
3,"LBR",6.3
3,"LKA",970.7
3,"LSO",69.5
3,"LTU",31.1
3,"LUX",0
3,"LVA",55.6
3,"MAR",247.3
3,"MDA",85.4
3,"MDG",360.1
3,"MEX",1870.4
3,"MKD",377.3
3,"MLI",98.7
3,"MMR",609
3,"MNE",77.4
3,"MOZ",220.3
3,"MRT",5.1
3,"MUS",109.5
