,1,2,3,4,5,6,7,8,9,10,11,12
LBN,23.1,23.1,23.1,12,11.3,10.9,7.8,6.6,10.4,13,15.4,23.1
LBR,2.7,2.7,6.3,6.3,6.3,3.4,2.5,3.1,3.5,5.2,6.3,3.4
LBY,0,0,0,0,0,0,0,0,0,0,0,0
LKA,880.7,923.6,970.7,949.4,974.4,973.3,926,894.1,970.6,1039.6,937.7,924.8
LSO,80,75.8,69.5,66.8,63,60.3,60,62.8,62,67,67.3,76.3
LTU,31.1,31.1,31.1,14.2,6,4.3,3.3,4.9,6.7,11.9,26,30.3
LUX,0,0,0,0,0,0,0,0,0,0,0,0
LVA,40.3,44.3,55.6,37.6,39.6,58.3,57.3,56.2,59.5,53.5,36.3,40.3
MAR,168.2,179.4,247.3,239.7,219.1,200.6,153.4,154,162.2,178.1,211.7,176.6
MDA,76.8,79.7,85.4,88.7,108.5,133.9,143,143,143,133.7,84.6,77.2
MDG,363,354.9,360.1,367.1,395.7,404,403.4,384.6,386.8,385.9,373.3,383.9
MEX,1668.9,1735.6,1870.4,1734.3,1775.9,1740,1544.9,1489.6,1645.2,1709.6,1803.8,1816
MKD,351.4,375.1,377.3,521.8,465.1,494.6,469,448,421.5,438.2,420.8,342.8
MLI,95.5,97.6,98.7,103.8,95.1,76.2,69.5,65.1,67.7,72.7,80.9,92.6
MMR,443.7,483,609,697.1,802,904.4,875.4,856.1,857.4,812.7,536.9,459
MNE,50.1,58,77.4,64.8,61.8,61,33.7,29,28.9,28.8,36.9,46.8
MNG,0,0,0,0,0,0,0,0,0,0,0,0
MOZ,200,202.3,220.3,223.8,220,220.5,224.3,214.3,213.3,206.3,212.6,202.5
MRT,4.3,4.4,5.1,13.7,42.9,42.9,42.9,42.9,24.3,14.6,9.1,9.4
MUS,66.4,69,109.5,109,98.9,68,62.5,61.5,88.3,88.7,110.8,81
MWI,143.8,158.6,167.3,157.1,158.4,120.9,114.6,113.6,113.5,125.1,159,151
MYS,302.1,322.8,335.4,422.2,435.6,476.6,442.7,444.1,453.3,364.2,323.2,315
NAM,54.5,56.1,63,101.7,158,157.2,157.2,142.7,118.6,101.8,70.5,54.5
NER,0,0,0,0,0,0,0,0,0,0,0,0
NGA,143.6,148.7,156.2,129,106.5,87.2,83.9,67.3,96.6,112.8,146.6,153.8
NIC,71.6,75.9,122.1,115.2,81.2,67.3,70.8,69.4,68.8,78,105.8,90.5
NLD,3.9,6.8,38.2,38.2,38.2,37.1,26,32,38.2,32.2,33.9,7.6
NOR,14129.9,14603.9,15323.9,15078.1,14896.2,15197.9,13691.4,12935.4,13775.6,15156,15180.5,14676
NPL,596.1,629.9,702.1,656.5,686.2,869.1,759.8,734.4,730.1,673,602.8,558.2
NZL,1330.3,1345.7,1429.1,1485.7,1507.3,1427.4,1270.2,1272.3,1364.2,1488.1,1508.2,1433.5
OMN,0,0,0,0,0,0,0,0,0,0,0,0
PAK,393.7,439,541.5,656,707.1,697.7,661.5,628.2,598.3,538.3,456.5,405.2
PAN,464.6,473.2,429.2,385,345,343,283.5,238.9,268.8,347.9,392.3,475.6
PER,817.7,852.1,951,977.4,1023.8,1042.8,984.9,958.1,987.3,1058,878.9,827.7
PHL,313.5,344.8,504.1,546.8,536.7,527.5,459.2,422.5,425.3,442.4,429.9,335.6
PNG,236,248.8,239.4,225.9,217,207,179.4,165.4,179.2,211,218.4,245.5
POL,7.8,8.3,9.9,8.8,10.2,11.4,11.3,11.1,12.8,11.5,11.8,9.6
PRK,367.3,395.8,452.5,454.8,438.3,394.9,335.2,297.2,315.1,394.8,451.1,405.7
PRT,1916.2,2039.7,2381.9,2470.8,2560.8,2476.6,2159.2,2075.8,2207.2,2332.3,2246.1,2026.1
PRY,280.7,284.1,301.8,291.3,286.3,283.5,281.2,273.7,273.3,268.5,264.8,280.3
QAT,0,0,0,0,0,0,0,0,0,0,0,0
ROU,329.5,350.4,398.5,423.4,388.6,346.1,307.2,256,283.6,347.6,375.2,358.5
RUS,3476,3667.5,4027.4,4170.6,4075.4,3795.9,3330.7,3161,3347.7,3754.6,3801.8,3608.5
RWA,195.9,186,226,238.5,171.3,219.4,218.5,217.7,223.4,164.3,175.2,209.2
SAU,0,0,0,0,0,0,0,0,0,0,0,0
SDN,272.5,275.6,344.6,368,373.7,327.7,232.3,241.5,341.1,389.2,346.9,324.8
SEN,14.5,16.8,31.6,48.3,48.3,31.3,25,26.2,31.6,48.3,48.3,19.5
SGP,0,0,0,0,0,0,0,0,0,0,0,0
SLE,6.2,7.1,14.5,25.5,36,42.8,42.8,42.8,42.8,23.4,7.4,6.2
SLV,166.3,175.6,236.1,214,201.6,94.5,62.7,46.7,51.2,82.6,213.7,197.7
SRB,160.6,159.3,189.4,192.8,214.3,243.6,207.1,210.5,248.4,232.6,191.1,178.2
SVK,264.1,286.7,325.7,314.4,335.8,328.2,280.5,271.6,322.2,309.5,306.7,297.3
SVN,123.7,128.2,208.8,191.8,200.4,234,179.7,163.9,180.8,171.6,189.1,117
SWE,7708.5,8101.6,9162.6,8837.3,8428.6,8378.2,7938.4,7624.2,7949.7,7889.3,8130.4,8040.7
SWZ,199.1,199.6,174.4,161.1,134.5,113.3,97.3,93,108.2,142.5,188.4,201.8
SYR,10.3,10.4,10.5,8.9,10.2,10.6,10.6,10.6,10.6,9.4,9,10.3
