,1,2,3,4,5,6,7,8,9,10,11,12
NER,14400.2,13613.4,14080.1,14765.6,13837.2,13025.4,13088.7,11999.8,12801.6,13772.5,13621.6,13855.6
NGA,14479,11850.8,12040.2,12231.3,11392.2,11405.7,11574.9,10968.2,11687.3,12484.9,13427.1,14102.9
NIC,13439.2,13078.9,14975.2,13916,12477.5,9297.7,11095.4,11634,9674.7,10642.9,10725.2,12734
NLD,2204.9,5533,5583.6,6220.7,9769.6,10185.8,9024.2,8284.8,6709.4,4952.2,2776.6,1924.2
NOR,1574.1,6445.1,6582.3,15035.2,16154.3,21290.1,19392.9,13126.2,13523.8,5574.4,2479.4,1271.2
NPL,12452.3,11351.8,12981.6,12253.4,13618.9,12275.1,10754.6,10522.5,11426.6,12572.6,11014.7,11317.9
NZL,12123.6,10204.7,9300,6755.2,5459.2,4058.1,4804.3,5777.9,8316.2,10583.2,10963,11656.5
OMN,13333.5,12729.6,13326.8,13470.1,12993.4,11482.3,12020.2,12955,12950,13021.1,12100.9,12402.4
PAK,36500.7,31922.1,40273.6,44383.1,45978.7,43141.6,41665.5,42638.9,43359.9,41518.4,32728.1,35289.9
PAN,5017,4794.6,5503.2,4086.9,2900.9,2603.4,2849.8,2810.1,2799.1,3029.6,3293.4,4123.2
PER,81627.1,73553.5,82741.6,75019,84387.2,79122.3,82880.8,86301.5,91447.1,93238.2,92190.6,89117.8
PHL,206870.8,209421.5,246417.3,224783.6,208120.6,161802.8,154979.2,153551.7,155095.4,176154.3,192935.2,191412
PNG,8681.3,8326.4,10043.3,8923.2,9365.7,8755.8,10376.5,12275,12111.1,11988.2,10443.9,9904.4
POL,17395.8,39658.1,57025.9,68934.4,76271.9,76847.7,79301.5,79354.9,61722.1,47229.2,23470.8,18028.4
PRK,9498.9,10200.7,12889,12179.9,13625.9,12028.3,11537.4,11093.1,11527.7,10930.1,5668.5,8088.5
PRT,1027748.7,1066533.5,1492701.1,1294299,1546636.4,1475934.5,1569969.2,1547726.2,1388059.2,1020388,1082332.7,719532.2
PRY,10978.5,10451.2,12442.5,10690.9,9774,9630.5,9228.7,10679.9,11448.7,11131.3,11188.8,10634.9
QAT,12279.8,11429.4,12096.2,13113.5,12765.2,12550.5,12409.2,12750,12247.6,12048.1,10441,10396
ROU,5981.4,7580.5,10786,15347.4,18171.8,15612,15739,18245,15476.1,11986.4,8128.4,6413.4
RUS,0,0,0,0,0,0,0,0,0,0,0,0
RWA,28437.6,23769.6,27162.1,23429.3,25555.4,24664.3,28886.7,29224.8,25270.4,23372.5,21912.8,24690.2
SAU,43657.2,40494.1,43033.3,44848.9,43613.4,43521.9,43928,44438.8,43316,41408.9,36725.3,36885.1
SDN,11076.4,10208.4,10877.8,10944.3,9997.8,9241,9510.6,8806.9,8655.8,9624.9,10379.6,10498.1
SEN,14789.1,16262.4,18442.4,17838.1,16873.2,15294.5,13887.2,12503.2,12154.2,12924.9,13777,14343.2
SGP,9348.8,11002.2,10273.8,8447.5,8145.4,7481.1,7430.8,9030.9,8438,9922.9,8300.7,8508.9
SLE,11037.2,9848.8,10944.8,9125.1,7668.5,8097.8,8940.8,8829.2,8312.8,9162.8,9750.9,10803.4
SLV,11736.1,10950.6,11770.3,10703.2,9587.4,8268.6,9165.8,9563,8033.3,8532.8,9309,11430.7
SRB,6265.8,8144.4,9712.4,12193.3,12304.7,12611.8,14137.7,12658.7,10334.1,8554.1,8055.6,7252.2
SVK,3874.2,5886.6,7044.9,9455.1,11317.1,10880,10888,10530.7,9600.5,8198.4,4762.2,2492.4
SVN,5196.3,6884.4,6841.7,8789.5,13247,12112.8,14123.5,14028.2,12150.6,10147,6028.6,5666.2
SWE,1394.2,5342.9,5707.6,9676.2,14376.3,15559.2,13276.3,9877.9,9424.4,5108.9,2334.2,1191.2
SWZ,13641.9,12469.1,12882.2,11163.4,11896.4,11120.2,10724.4,12140,11298.6,13237.8,12930,12865.9
SYR,9909.7,9805,13288.1,13638.7,14173.4,13738.8,14042.8,13976.2,12345.7,10437.3,10362.5,10422.8
TGO,11217.2,9080.6,9572.3,9005.9,8907.5,8923.2,9359.1,8957.2,9252.3,10016,10702.1,10658.9
THA,1813307.8,1740324.6,1734618.4,1761706.7,1486345.9,1398149.2,1402459.6,1382065.8,1317142.5,1636631.9,1649071,1772427.9
TJK,8725,8937.6,12033.9,13570.8,13524.7,14154.9,14368.6,15035.2,14792.1,12525.8,9149.4,9597.2
TKM,8556.5,8004.6,11899.5,12614.1,12985.1,13095.5,13500.4,13916.1,13347.4,10641.8,8850.8,8205.1
TTO,5832.5,5684.1,6382.6,5953.6,5534.5,4893.3,5007.6,5423.3,4862.6,4359,4636.7,4889.8
TUN,10565.5,10079.6,13096.8,13875.9,14191.6,13265.2,13946.4,12997.1,11738,10692.8,10254.8,10240.5
