country,1,2,3,4,5,6,7,8,9,10,11,12
HRV,26356.5,28276.7,17576.9,16329.6,7898.4,10021,9064.2,9267.8,13523.3,16769.6,17080.6,17103.3
HUN,36352.7,15076.6,12285.5,22529.7,14258.8,12390.6,14462.6,14149.2,11572.1,15394.1,14477.8,25141.2
IDN,3127.2,1815.4,1803.6,1419.1,2304.1,3164.7,3727.8,3771,3366.5,2732.2,1313.8,2083.2
IND,852580.2,830371.9,743314,799508.8,1271324.8,1832239.3,2533267.9,1648460.9,924901.8,560355.5,791201.8,933389.6
IRL,1280428.9,818241.5,1013859.1,611621.4,915100.2,714501.6,811725.3,704296.7,657384.9,670710.6,1185586.6,1381742.3
IRN,33858.1,28335,24445.5,42990.4,27780.2,24149.6,24503.4,20045,14321,20201.9,25377.8,29065.8
IRQ,13236.4,12236.4,13423.6,15983.8,15942.9,24007.9,24929,19712.5,12056.9,9664.2,8840.9,11080.8
ISL,36111.5,38288.7,34555.3,35353.6,23040.5,17348.7,13075.3,19782.2,24840.4,27770.4,29054.6,34048.2
ISR,43290.2,47896.8,39638.2,41411.5,29154.1,28716.7,24578.1,24615.1,22427.3,21085.2,36703.9,31874.7
ITA,48489.6,28706.2,42780.4,31861.6,28026.6,21002.4,10510.6,12499,33802.8,32689,22007.7,12020.6
JAM,49684,45111.6,50223.7,45033.6,61116.5,89652.5,68099.8,43064,23384.6,27965,55518.8,85677.2
JOR,10003.6,11965.1,10682.4,11017.5,9766.2,8849,8130.8,7750.5,5018.8,5517.5,8364.9,6938.8
JPN,169822.3,133513.3,120886,104979.8,81058.4,72478.4,72566.8,45791.1,74019.1,102294.1,89432.5,128204.8
KAZ,17202.2,13857.7,15793.7,17030,13939.6,11827.4,14304.4,12975.8,12158.6,18052.8,15667.4,20615.3
KEN,40653.9,52392.8,73076.9,26765.5,38076.2,24637.2,44542.5,52625.1,55195,56753.9,39506.1,38295.6
KGZ,3374.9,2002.5,5894.3,3093.2,2533.6,2604.5,2678,2601.7,3443.4,4042,5100.6,3795.7
KHM,7435.7,5405.5,5642,4637.5,5290.2,7850.5,10272.8,6956.7,6017.6,2914.5,4813.5,8034
KOR,251589.5,224172.4,196817.6,189773.8,160561.6,113157.2,170399.7,106425,143958,172057.5,174833.6,207768.1
KOS,13382.5,8941.3,11372.1,10641.2,7869.2,6996.3,5229.2,5314.8,6505.1,7600.5,8468.3,4058.5
KWT,15938.1,17055.6,15203.8,22694.1,16761.5,36863.6,29312.6,19418.1,15290.8,14608.3,11298.1,16230.5
LAO,7450.3,5476.5,6213.8,6750.3,7061.4,6511.9,7242.4,3386.8,4214.6,3811.5,4960.7,7742.8
LBN,13907.5,16506.2,12241,12570.8,6659.5,5655,2690.5,3189.3,2110.8,3630.3,7461.2,6898.9
LBR,3917.1,3598.4,3679.9,2511,2944,6597.7,8238.4,11329.9,8391.8,4623,2639.9,5143.7
LBY,26486.6,22967.3,24568.8,21590.3,23218.9,21692.9,19379.8,19193,18509.6,19766,17162.9,21265.7
LKA,306676,297309.1,150114.7,50697.7,366491.9,531306.1,631490,569909.8,459728.1,220473.3,175052.6,316830.8
LSO,6980.6,6611.5,6720.1,5964.8,8902.4,11056.3,15215.1,12193.2,15034.3,14509.7,16448,12555.4
LTU,21332.9,14158.4,19348.3,14202.8,8128.6,8475.3,9311.9,8591.3,18111,18908,23751.8,21510.7
LUX,30396.7,13440,18150,11465.6,6198.6,6428.7,4255.7,6745.6,6601.6,13273.2,18309.6,24279.2
LVA,21536.4,14262.7,22381.8,13775.6,9737.2,9586.3,10457.2,12284.5,23068.5,23249.3,30499.4,24850.7
MAR,397593.8,442391.9,301297.3,327846.9,365984.2,334779.2,284811.4,306968.3,253041.2,197159.1,312255.5,291631.8
MDA,25142.9,19320.8,21886.2,27988.4,19504.9,17793.6,16172.3,14376.1,20171.6,20178.9,24776.1,21629.2
MDG,19186.2,9356.1,15020.7,10350.3,17913.1,18040.3,22167.2,21959.3,24087.3,20452.4,17467.8,8617.9
MEX,815082.7,573049.4,551882.6,340096,288706.3,405238.9,317703.7,372421.3,214891.4,518327.8,655406.1,561291.2
MKD,35950.5,30172.6,28820.5,33578.3,23053.3,27134.8,24598.7,22704.5,23323.6,27549.2,26424.2,16897.4
MLI,24753.2,16365.3,22487.3,17718.1,14628.4,14305.8,11471.5,9016.3,8072.2,10645.9,15971.6,24028.6
MMR,4927.1,4584.2,5524.9,5325.4,7474.9,12035.2,14472.7,9568.9,6257.8,3538.8,3067,4158.3
MNE,16944.1,14163.1,15913.9,12821.5,8867.8,7530.7,5703.1,5135.1,7690.7,12924.2,9289.8,5339.4
MNG,50539.4,51996.4,59766.1,67497.3,68708.2,51592,36904.7,39896.4,44436.8,64161.8,24264.2,45763.4
MOZ,12329.8,8907.4,11021,10132.2,9668.7,12812.7,13247.7,13671.5,18788.8,17460.9,20082.2,11257.5
MRT,59394.6,61147.4,70493.3,70005,59064.2,59274.8,38779.8,21259.6,22565.4,37897.6,53215.2,53262.8
MUS,24233.5,15035.3,21698.8,16383.8,22534.5,27632.1,28676.3,28219.5,25696.2,24419.8,13872.1,15221.1
MWI,8528.7,5011.5,9028.2,8254.1,9496.2,9007.6,11727.2,15181.8,18474.4,20649.8,17773.6,6604.4
MYS,5431.6,5220.7,3245.3,1874.5,1304.1,1607.1,2627,2353.9,1959,1728.9,1822.3,4468.6
NAM,9783.8,9434.8,8967.9,8341.8,9213.8,11779.5,14105.2,13854.8,12868.8,11984.9,14797,9739.3
NER,28703.3,18172,25744.8,24367.2,16163.9,12371.2,14979.3,11453.3,10421.3,13894.9,23048.1,34341.7
NGA,18404.3,11745.7,14068.4,14822.8,7781.2,8290.8,8153.1,5956.7,5531,4279.6,11483.1,21094.8
NIC,29248.2,19616.6,22995.6,19579.1,24080.8,28913.3,28854.2,18366.7,12410.6,10324.1,16600.1,23386.3
NLD,1020623,694252.9,846739.8,588233.9,741467.1,603463.5,695069.4,552019.5,690781.3,549144.8,1088514.6,1178801.2
NOR,360967.6,360022.1,339220,255400.9,192919.3,197854.2,148328.9,182224.3,214318.8,261444.4,279157.3,398653.9
NPL,2910.7,2858.9,5442.6,3846.5,3333.6,3287.7,4190,3006.3,2341.8,1462.1,1339.4,1529.4
NZL,143063.8,167863.3,155924.4,233303.4,274029.9,295121.3,252390.3,222742.4,233532.6,291228.1,253921.9,208813.8
OMN,8979.8,13207.6,10058.5,11424.6,16357.3,17164.6,24092.6,18654.9,11533.6,7882.1,10013.1,10865.1
PAK,100286.4,109881.5,107505.2,137995.4,210198.9,134892,250136.9,185710.6,106438.4,102754.1,91718.1,76641.5
PAN,34953.5,25818.9,29358.2,17740.8,8872.3,5957.5,7962,6497.1,4639.1,4066.2,8673.3,11109.4
PER,47464.8,32870.5,28869.1,53257.3,69840.8,68516.1,85723.3,78878.8,72156.3,83280.3,72638.3,60340.3
PHL,78426.9,50417.4,40605.7,33711.6,16031.1,8761.8,57908.7,38632.8,18141,62228.4,58344.6,65924.1
PNG,6310.8,4980.8,7330.8,4472.1,7917.5,11349.7,10988.1,10651.6,10771.2,12329.2,4917.6,5737.3
POL,1494850.5,875739.1,1129091.7,1088285.3,807919.1,632387.4,921754.5,746452.9,860398.4,832054.5,1251930.6,1468819.3
PRK,18469.4,17269.3,19222.8,17050,17875.1,8376.1,7648,7343.6,5879.2,15697.9,14193.8,16305.5
PRT,4948267.7,5431135.3,5157686.1,3499835.4,5019209.8,3196001.5,4278394.7,3886623.2,3611432.8,5063397.6,3844368,4969910.6
PRY,14145.3,8444.8,8333.6,8932.6,12779.8,15578.9,15635.1,20424.1,16568.6,18287.8,15663.4,18494
QAT,14823.9,19563.5,17299.3,23200.1,18115.5,25358.5,16638.5,5885.3,7513,11221.7,16000.8,16073.5
ROU,86861.3,90037.9,89725.5,99165,61209.6,57104.5,43660,68383,67698.8,76979.1,89843.1,71918.7
RUS,92865,75159.8,68292.8,84916.6,58748.3,55529.5,67814.1,60560.5,52088.4,80708,80607.7,97139.9
RWA,3636.5,2311.1,4863.5,2821.7,4713.1,3196.2,7073.5,7036.1,4451.2,3891,2465.3,2386
SAU,12543.8,14847.4,15486.1,15271.1,13697.6,15733.5,13485,13702.7,11876.2,11326,12587.7,14176.1
SDN,22123.2,17089.9,22471.3,21975.1,15623.8,14125.5,11233.7,11852.7,9164.4,11974.7,14634.2,23080.2
SEN,19227.4,19147.3,17993.1,12351,14464.7,13116,9333.8,6690.8,4935.7,4303.8,8359.2,15800.5
